year,latitude,longitude,co2
1/1/2016,13.25,-61.2,0.22
1/1/2016,13.25,-61.2,0.22
1/1/2016,13.8333,-88.9167,6.83
1/1/2016,13.8833,-61.1333,0.43
1/1/2016,15,-86.5,10.58
1/1/2016,15.4167,-61.3333,0.14
1/1/2016,15.5,-90.25,20.94
1/1/2016,17.05,-61.8,0.57
1/1/2016,17.25,-88.75,0.55
1/1/2016,17.3333,-62.75,0.25
1/1/2016,18.25,-77.5,7.81
1/1/2016,18.5,-64.5,0.19
1/1/2016,19,-72.4167,3
1/1/2016,19,-70.6667,21.78
1/1/2016,21.5,-80,36.67
1/1/2016,21.75,-71.5833,0.22
1/1/2016,23,-102,504.98
1/1/2016,24.25,-76,2.57
1/1/2016,32.3333,-64.75,0.61
1/1/2016,38,-97,"5,310.86"
1/1/2016,60,-95,558.19
1/1/2016,72,-40,0.56
1/1/2016,-41,174,34.46
1/1/2016,-27,133,413.37
1/1/2016,-21.5,165.5,5.23
1/1/2016,-20,-175,0.13
1/1/2016,-18,175,1.26
1/1/2016,-16,167,0.17
1/1/2016,-15,-140,0.89
1/1/2016,-13.5833,-172.3333,0.22
1/1/2016,-8,159,0.22
1/1/2016,-8,178,0.01
1/1/2016,-6,147,6.94
1/1/2016,-0.5333,166.9167,0.05
1/1/2016,1.4167,173,0.07
1/1/2016,6.9167,158.25,0.17
1/1/2016,7.5,134.5,0.29
1/1/2016,9,168,0.11
1/1/2016,-34,-64,207.06
1/1/2016,-33,-56,6.76
1/1/2016,-30,-71,86.13
1/1/2016,-23,-58,5.79
1/1/2016,-17,-65,20.56
1/1/2016,-17,-65,20.56
1/1/2016,-10,-76,66.34
1/1/2016,-10,-55,473.74
1/1/2016,-2,-77.5,39.75
1/1/2016,4,-72,86.37
1/1/2016,4,-56,2.03
1/1/2016,5,-59,2.05
1/1/2016,8,-66,166.1
1/1/2016,8,-66,166.1
1/1/2015,-29.5,28.5,2.48
1/1/2015,-29,24,461.12
1/1/2015,-22,17,3.92
1/1/2015,-22,24,7.1
1/1/2015,-20.2833,57.55,4.16
1/1/2015,-20,30,10.91
1/1/2015,-20,47,3.05
