Year,Population,Country,CO2 (MT),Country Code,Continent,Continent_Code,GDP
1/1/1960,326550,Malta,0.34075,MLT,Europe,EU,
1/1/1960,21736942,Myanmar,2.7148,MMR,Asia,AS,
1/1/1960,480579,Montenegro,0.67008,MNE,Europe,EU,
1/1/1960,955505,Mongolia,1.2934,MNG,Asia,AS,
1/1/1960,7184869,Mozambique,1.8824,MOZ,Africa,AF,
1/1/1960,850384,Mauritania,0.03664,MRT,Africa,AF,92609222.6912849
1/1/1960,659351,Mauritius,0.17954,MUS,Africa,AF,
1/1/1960,3659984,Malawi,0.43837,MWI,Africa,AF,162960130.465802
1/1/1960,8156347,Malaysia,4.2014,MYS,Asia,AS,1916241996.60264
1/1/1960,634142,Namibia,,NAM,Africa,AF,
1/1/1960,79000,New Caledonia,0.86104,NCL,Oceania,OC,
1/1/1960,3388764,Niger,0.029312,NER,Africa,AF,449526872.565561
1/1/1960,45138458,Nigeria,3.4032,NGA,Africa,AF,4196092258.15484
1/1/1960,1773129,Nicaragua,0.53116,NIC,North America,NA,
1/1/1960,11486631,Netherlands,73.4376,NLD,Europe,EU,12276734172.0828
1/1/1960,3581239,Norway,13.0868,NOR,Europe,EU,5163271598.15702
1/1/1960,10105050,Nepal,0.080608,NPL,Asia,AS,508334413.965087
1/1/1960,4375,Nauru,,NRU,Oceania,OC,
1/1/1960,2371800,New Zealand,11.5318,NZL,Oceania,OC,5485854791.97096
1/1/1960,551740,Oman,,OMN,Asia,AS,
1/1/1960,44988690,Pakistan,11.9264,PAK,Asia,AS,3707055900.88198
1/1/1960,1132997,Panama,0.99616,PAN,North America,NA,537147100
1/1/1960,10155015,Peru,8.1646,PER,South America,SA,2571908062.07692
1/1/1960,26269734,Philippines,8.3251,PHL,Asia,AS,6684568805.06881
1/1/1960,9771,Palau,,PLW,Oceania,OC,
1/1/1960,2255859,Papua New Guinea,0.17954,PNG,Oceania,OC,230496032.972722
1/1/1960,29637450,Poland,199.5771,POL,Europe,EU,
1/1/1960,11424176,North Korea,23.7884,PRK,Asia,AS,
1/1/1960,8857716,Portugal,8.2135,PRT,Europe,EU,3193200404.37297
1/1/1960,1903982,Paraguay,0.30405,PRY,South America,SA,
1/1/1960,78076,French Polynesia,0.03664,PYF,Oceania,OC,
1/1/1960,47384,Qatar,0.17587,QAT,Asia,AS,
1/1/1960,18406905,Romania,53.3941,ROU,Europe,EU,
1/1/1960,119897000,Russia,889.983,RUS,Asia,AS,
1/1/1960,119897000,Russia,889.983,RUS,Europe,EU,
1/1/1960,2935582,Rwanda,0.069825,RWA,Africa,AF,119000024
1/1/1960,4086539,Saudi Arabia,2.6744,SAU,Asia,AS,
1/1/1960,7544491,Sudan,1.2456,SDN,Africa,AF,1307333333.33333
1/1/1960,3206749,Senegal,0.82738,SEN,Africa,AF,792824707.345294
1/1/1960,1646400,Singapore,1.3923,SGP,Asia,AS,704462302.365086
1/1/1960,117849,Solomon Islands,0.010992,SLB,Oceania,OC,
1/1/1960,2317636,Sierra Leone,0.71448,SLE,Africa,AF,322009471.57364
1/1/1960,2766324,El Salvador,0.61886,SLV,North America,NA,
1/1/1960,2755972,Somalia,0.084272,SOM,Africa,AF,
1/1/1960,,Serbia,15.1792,SRB,Europe,EU,
1/1/1960,2842724,South Sudan,0.11328,SSD,Africa,AF,
1/1/1960,64302,Sao Tome and Principe,0.010992,STP,Africa,AF,
1/1/1960,287871,Suriname,0.43235,SUR,South America,SA,93850000
1/1/1960,4068095,Slovakia,31.6714,SVK,Europe,EU,
1/1/1960,1584720,Slovenia,4.3608,SVN,Europe,EU,
1/1/1960,7484656,Sweden,49.1705,SWE,Europe,EU,14842870293.4207
1/1/1960,41700,Seychelles,,SYC,Africa,AF,12012025.2477875
1/1/1960,4573512,Syria,3.2187,SYR,Asia,AS,857704431.686497
1/1/1960,5824,Turks and Caicos Islands,,TCA,North America,NA,
1/1/1960,3001609,Chad,0.05496,TCD,Africa,AF,313582727.638108
1/1/1960,1580513,Togo,0.065952,TGO,Africa,AF,121128073.114022
1/1/1960,27397207,Thailand,3.7095,THA,Asia,AS,2760747471.88624
1/1/1960,2087049,Tajikistan,3.131,TJK,Asia,AS,
1/1/1960,1603258,Turkmenistan,14.1373,TKM,Asia,AS,
1/1/1960,474532,Timor-Leste,,TLS,Asia,AS,
1/1/1960,61577,Tonga,0.010992,TON,Oceania,OC,
1/1/1960,847979,Trinidad and Tobago,2.5787,TTO,North America,NA,535670127.748935
1/1/1960,4178236,Tunisia,1.7241,TUN,Africa,AF,
1/1/1960,27472345,Turkey,16.7985,TUR,Asia,AS,13995067817.5092
1/1/1960,27472345,Turkey,16.7985,TUR,Europe,EU,13995067817.5092
1/1/1960,5323,Tuvalu,,TUV,Oceania,OC,
1/1/1960,10052152,Tanzania,0.82806,TZA,Africa,AF,
1/1/1960,6767095,Uganda,0.42106,UGA,Africa,AF,423008385.744235
1/1/1960,42664652,Ukraine,269.8205,UKR,Europe,EU,
1/1/1960,2538643,Uruguay,4.3145,URY,South America,SA,1242289212.04285
1/1/1960,180671000,United States,2887.8204,USA,North America,NA,543300000000
1/1/1960,8526300,Uzbekistan,47.8515,UZB,Asia,AS,
1/1/1960,80977,Saint Vincent and the Grenadines,0.010992,VCT,North America,NA,13066557.7786852
1/1/1960,8141841,Venezuela,57.0168,VEN,South America,SA,8736939393.93939
1/1/1960,8048,British Virgin Islands,,VGB,North America,NA,
1/1/1960,32670039,Vietnam,7.4839,VNM,Asia,AS,
1/1/1960,63689,Vanuatu,,VUT,Oceania,OC,
1/1/1960,108629,Samoa,0.014656,WSM,Oceania,OC,
1/1/1960,5315355,Yemen,3.631,YEM,Asia,AS,
1/1/1960,17099840,South Africa,97.8435,ZAF,Africa,AF,7575248495.0301
1/1/1960,3070776,Zambia,4.3552,ZMB,Africa,AF,713000000
1/1/1960,3776681,Zimbabwe,5.9432,ZWE,Africa,AF,1052990400
1/1/1961,55438,Aruba,0.64555,ABW,North America,NA,
1/1/1961,9169410,Afghanistan,0.4908,AFG,Asia,AS,548888895.555556
1/1/1961,5531472,Angola,0.45371,AGO,Africa,AF,
1/1/1961,1659800,Albania,2.279,ALB,Europe,EU,
1/1/1961,14375,Andorra,,AND,Europe,EU,
1/1/1961,100796,United Arab Emirates,0.010992,ARE,Asia,AS,
1/1/1961,20817266,Argentina,51.1267,ARG,South America,SA,
1/1/1961,1941492,Armenia,2.5714,ARM,Asia,AS,
1/1/1961,1941492,Armenia,2.5714,ARM,Europe,EU,
1/1/1961,55001,Antigua and Barbuda,0.047632,ATG,North America,NA,
1/1/1961,10483000,Australia,90.5039,AUS,Oceania,OC,19666256019.7111
1/1/1961,7086299,Austria,31.824,AUT,Europe,EU,7311749633.36229
1/1/1961,4030322,Azerbaijan,24.8282,AZE,Asia,AS,
1/1/1961,4030322,Azerbaijan,24.8282,AZE,Europe,EU,
1/1/1961,2852438,Burundi,0.047737,BDI,Africa,AF,202999992
1/1/1961,9183948,Belgium,92.6983,BEL,Europe,EU,12400145221.595
1/1/1961,2465867,Benin,0.12824,BEN,Africa,AF,235668222.429984
1/1/1961,4894580,Burkina Faso,0.0916,BFA,Africa,AF,350247237.11684
1/1/1961,49362843,Bangladesh,2.2904,BGD,Asia,AS,4817580183.56657
1/1/1961,7943118,Bulgaria,25.945,BGR,Europe,EU,
1/1/1961,167894,Bahrain,1.7697,BHR,Asia,AS,
1/1/1961,115121,Bahamas,0.54594,BHS,North America,NA,190098039.215686
1/1/1961,3288603,Bosnia and Herzegovina,5.5154,BIH,Europe,EU,
1/1/1961,8271216,Belarus,38.5886,BLR,Europe,EU,
1/1/1961,94703,Belize,0.03664,BLZ,North America,NA,29964370.7125857
1/1/1961,45500,Bermuda,0.17587,BMU,North America,NA,89249986.7007156
1/1/1961,3728964,Bolivia,1.0404,BOL,South America,SA,612518906.826491
1/1/1961,74311343,Brazil,49.1445,BRA,South America,SA,15236854859.469
1/1/1961,231718,Barbados,0.19419,BRB,North America,NA,
1/1/1961,85562,Brunei Darussalam,0.30411,BRN,Asia,AS,
1/1/1961,228851,Bhutan,,BTN,Asia,AS,
1/1/1961,512685,Botswana,,BWA,Africa,AF,32902336.644746
1/1/1961,1526066,Central African Republic,0.087936,CAF,Africa,AF,123134584.467673
1/1/1961,18271000,Canada,194.0007,CAN,North America,NA,40767969453.696
1/1/1961,5434294,Switzerland,20.3573,CHE,Europe,EU,10712712465.0522
1/1/1961,8303811,Chile,14.4582,CHL,South America,SA,4609727272.72727
1/1/1961,660330000,China,550.9585,CHN,Asia,AS,50056868957.6732
1/1/1961,3631553,Cote d'Ivoire,0.55326,CIV,Africa,AF,618245639.221382
1/1/1961,5285017,Cameroon,0.28213,CMR,Africa,AF,657597382.759152
1/1/1961,15637699,Democratic Republic of Congo,2.3554,COD,Africa,AF,3086746936.39789
1/1/1961,1043116,Republic of the Congo,0.26747,COG,Africa,AF,151675739.160627
1/1/1961,16567811,Colombia,18.1963,COL,South America,SA,4552914000
1/1/1961,194139,Comoros,0.010992,COM,Africa,AF,
1/1/1961,1381183,Costa Rica,0.49098,CRI,North America,NA,490325181.614275
1/1/1961,7291200,Cuba,12.1683,CUB,North America,NA,
1/1/1961,126125,Curacao,9.35,CUW,North America,NA,
1/1/1961,576395,Cyprus,0.86432,CYP,Asia,AS,
1/1/1961,576395,Cyprus,0.86432,CYP,Europe,EU,
1/1/1961,9586651,Czech Republic,107.5063,CZE,Europe,EU,
1/1/1961,73377632,Germany,834.8396,DEU,Europe,EU,
1/1/1961,88498,Djibouti,0.043968,DJI,Africa,AF,
1/1/1961,61032,Dominica,0.010992,DMA,North America,NA,
1/1/1961,4611687,Denmark,31.7019,DNK,Europe,EU,6933842098.84548
1/1/1961,3406280,Dominican Republic,1.0286,DOM,North America,NA,654100200
1/1/1961,11336339,Algeria,6.0559,DZA,Africa,AF,2434776645.73628
1/1/1961,4674172,Ecuador,1.6442,ECU,South America,SA,979108806.848646
1/1/1961,27366237,Egypt,17.0659,EGY,Africa,AF,
1/1/1961,1033328,Eritrea,,ERI,Africa,AF,
