year,energy,country,lat,lng
1/1/1994,20.07785708,South Korea,37,127.5
1/1/1994,10.53186983,Taiwan,23.5,121
1/1/1994,172.869956,Australia,-27,133
1/1/1994,100.6008485,Algeria,28,3
1/1/1994,59.20377754,Egypt,27,30
1/1/1994,161.682127,Nigeria,10,8
1/1/1994,113.9003468,Kuwait,29.3375,47.6581
1/1/1994,461.8478827,Saudi Arabia,25,45
1/1/1995,11.87037947,Belgium,50.8333,4
1/1/1995,32.69029806,Czech Republic,49.75,15.5
1/1/1995,127.8667725,France,46,2
1/1/1995,144.9460458,Germany,51,9
1/1/1995,29.66749744,Italy,42.8333,12.8333
1/1/1995,66.89810147,Netherlands,52.5,5.75
1/1/1995,99.50543791,Poland,52,20
1/1/1995,3.31735872,Portugal,39.5,-8
1/1/1995,32.46227415,Romania,46,25
1/1/1995,31.67515539,Spain,40,-4
1/1/1995,31.82251389,Sweden,62,15
1/1/1995,257.521151,United Kingdom,54,-2
1/1/1995,185.0103482,Norway,62,10
1/1/1995,63.84956338,Kazakhstan,48,68
1/1/1995,969.8038452,Russia,60,100
1/1/1995,77.88514114,Ukraine,49,32
1/1/1995,351.9349411,Canada,60,-95
1/1/1995,67.13204584,Argentina,-34,-64
1/1/1995,112.3225651,Brazil,-10,-55
1/1/1995,8.303247467,Chile,-30,-71
1/1/1995,59.24266033,Colombia,4,-72
1/1/1995,203.8932313,Mexico,23,-102
1/1/1995,1064.586383,China,35,105
1/1/1995,322.7415014,India,20,77
1/1/1995,214.5407228,Indonesia,-5,120
1/1/1995,99.51953983,Japan,36,138
1/1/1995,64.39529594,Malaysia,2.5,112.5
1/1/1995,22.09215502,South Korea,37,127.5
1/1/1995,10.62631,Taiwan,23.5,121
1/1/1995,186.8893892,Australia,-27,133
1/1/1995,106.708303,Algeria,28,3
1/1/1995,59.81105929,Egypt,27,30
1/1/1995,164.6150594,Nigeria,10,8
1/1/1995,114.8980103,Kuwait,29.3375,47.6581
1/1/1995,464.2371161,Saudi Arabia,25,45
1/1/1996,12.31916422,Belgium,50.8333,4
1/1/1996,33.34519993,Czech Republic,49.75,15.5
1/1/1996,131.7972808,France,46,2
1/1/1996,143.2147804,Germany,51,9
1/1/1996,30.5153509,Italy,42.8333,12.8333
1/1/1996,74.78309246,Netherlands,52.5,5.75
1/1/1996,102.404718,Poland,52,20
1/1/1996,3.793070255,Portugal,39.5,-8
1/1/1996,32.96783942,Romania,46,25
1/1/1996,32.81409172,Spain,40,-4
1/1/1996,31.95737788,Sweden,62,15
1/1/1996,268.9210705,United Kingdom,54,-2
1/1/1996,207.8735394,Norway,62,10
1/1/1996,63.708924,Kazakhstan,48,68
1/1/1996,969.147579,Russia,60,100
1/1/1996,70.63187254,Ukraine,49,32
1/1/1996,360.7339933,Canada,60,-95
1/1/1996,72.58254924,Argentina,-34,-64
1/1/1996,118.882071,Brazil,-10,-55
1/1/1996,8.330378104,Chile,-30,-71
1/1/1996,64.83555305,Colombia,4,-72
1/1/1996,214.1203497,Mexico,23,-102
1/1/1996,1091.143733,China,35,105
1/1/1996,328.012647,India,20,77
1/1/1996,222.7268361,Indonesia,-5,120
1/1/1996,102.4835034,Japan,36,138
1/1/1996,70.44834337,Malaysia,2.5,112.5
1/1/1996,23.3630181,South Korea,37,127.5
1/1/1996,11.17845468,Taiwan,23.5,121
1/1/1996,189.7541617,Australia,-27,133
1/1/1996,112.6451183,Algeria,28,3
